"week","team","man_coverage_rate","zone_coverage_rate"
11,"CHI",0.498,0.502
12,"CHI",0.492,0.508
13,"CHI",0.41,0.59
14,"CHI",0.524,0.476
15,"CHI",0.423,0.577
16,"CHI",0.454,0.546
17,"CHI",0.433,0.567
18,"CHI",0.445,0.555
1,"CIN",0.558,0.442
2,"CIN",0.555,0.445
3,"CIN",0.549,0.451
4,"CIN",0.554,0.446
5,"CIN",0.531,0.469
6,"CIN",0.53,0.47
7,"CIN",0.484,0.516
8,"CIN",0.535,0.465
9,"CIN",0.529,0.471
10,"CIN",0.658,0.342
11,"CIN",0.496,0.504
12,"CIN",0.555,0.445
13,"CIN",0.49,0.51
14,"CIN",0.491,0.509
15,"CIN",0.555,0.445
16,"CIN",0.51,0.49
17,"CIN",0.55,0.45
18,"CIN",0.533,0.467
1,"CLE",0.425,0.575
2,"CLE",0.369,0.631
3,"CLE",0.401,0.599
4,"CLE",0.457,0.543
5,"CLE",0.473,0.527
6,"CLE",0.43,0.57
7,"CLE",0.45,0.55
8,"CLE",0.495,0.505
9,"CLE",0.508,0.492
10,"CLE",0.406,0.594
11,"CLE",0.445,0.555
12,"CLE",0.498,0.502
13,"CLE",0.431,0.569
14,"CLE",0.448,0.552
15,"CLE",0.447,0.553
16,"CLE",0.414,0.586
17,"CLE",0.432,0.568
18,"CLE",0.449,0.551
1,"DAL",0.483,0.517
2,"DAL",0.545,0.455
3,"DAL",0.481,0.519
4,"DAL",0.483,0.517
5,"DAL",0.528,0.472
6,"DAL",0.458,0.542
7,"DAL",0.498,0.502
8,"DAL",0.438,0.562
9,"DAL",0.547,0.453
10,"DAL",0.489,0.511
11,"DAL",0.481,0.519
12,"DAL",0.45,0.55
13,"DAL",0.5,0.5
14,"DAL",0.468,0.532
15,"DAL",0.479,0.521
16,"DAL",0.552,0.448
17,"DAL",0.493,0.507
18,"DAL",0.457,0.543
1,"DEN",0.457,0.543
2,"DEN",0.435,0.565
3,"DEN",0.474,0.526
4,"DEN",0.507,0.493
5,"DEN",0.41,0.59
6,"DEN",0.468,0.532
7,"DEN",0.453,0.547
8,"DEN",0.486,0.514
9,"DEN",0.441,0.559
10,"DEN",0.483,0.517
11,"DEN",0.38,0.62
12,"DEN",0.518,0.482
13,"DEN",0.485,0.515
14,"DEN",0.444,0.556
15,"DEN",0.392,0.608
16,"DEN",0.476,0.524
17,"DEN",0.469,0.531
18,"DEN",0.45,0.55
1,"DET",0.456,0.544
2,"DET",0.427,0.573
3,"DET",0.465,0.535
4,"DET",0.462,0.538
5,"DET",0.439,0.561
6,"DET",0.397,0.603
7,"DET",0.478,0.522
8,"DET",0.472,0.528
9,"DET",0.417,0.583
10,"DET",0.386,0.614
11,"DET",0.458,0.542
12,"DET",0.436,0.564
13,"DET",0.46,0.54
14,"DET",0.398,0.602
15,"DET",0.412,0.588
16,"DET",0.493,0.507
17,"DET",0.466,0.534
18,"DET",0.473,0.527
1,"GB",0.573,0.427
2,"GB",0.505,0.495
3,"GB",0.42,0.58
4,"GB",0.513,0.487
5,"GB",0.547,0.453
6,"GB",0.582,0.418
7,"GB",0.445,0.555
8,"GB",0.454,0.546
9,"GB",0.472,0.528
10,"GB",0.458,0.542
11,"GB",0.474,0.526
12,"GB",0.493,0.507
13,"GB",0.452,0.548
14,"GB",0.581,0.419
15,"GB",0.504,0.496
16,"GB",0.497,0.503
17,"GB",0.52,0.48
18,"GB",0.501,0.499
1,"HOU",0.445,0.555
2,"HOU",0.509,0.491
3,"HOU",0.441,0.559
4,"HOU",0.399,0.601
5,"HOU",0.465,0.535
6,"HOU",0.436,0.564
7,"HOU",0.429,0.571
8,"HOU",0.407,0.593
9,"HOU",0.467,0.533
10,"HOU",0.443,0.557
11,"HOU",0.471,0.529
12,"HOU",0.441,0.559
13,"HOU",0.424,0.576
14,"HOU",0.5,0.5
15,"HOU",0.439,0.561
16,"HOU",0.488,0.512
17,"HOU",0.402,0.598
18,"HOU",0.431,0.569
1,"IND",0.439,0.561
2,"IND",0.434,0.566
3,"IND",0.504,0.496
4,"IND",0.449,0.551
5,"IND",0.46,0.54
6,"IND",0.412,0.588
7,"IND",0.421,0.579
8,"IND",0.49,0.51
9,"IND",0.5,0.5
10,"IND",0.5,0.5
11,"IND",0.395,0.605
12,"IND",0.532,0.468
13,"IND",0.491,0.509
14,"IND",0.449,0.551
15,"IND",0.478,0.522
16,"IND",0.411,0.589
17,"IND",0.406,0.594
18,"IND",0.452,0.548
1,"JAX",0.402,0.598
2,"JAX",0.458,0.542
3,"JAX",0.502,0.498
4,"JAX",0.409,0.591
5,"JAX",0.42,0.58
6,"JAX",0.452,0.548
7,"JAX",0.409,0.591
8,"JAX",0.435,0.565
9,"JAX",0.485,0.515
10,"JAX",0.489,0.511
11,"JAX",0.465,0.535
12,"JAX",0.376,0.624
13,"JAX",0.448,0.552
14,"JAX",0.493,0.507
15,"JAX",0.483,0.517
16,"JAX",0.442,0.558
17,"JAX",0.35,0.65
18,"JAX",0.452,0.548
1,"KC",0.573,0.427
2,"KC",0.552,0.448
3,"KC",0.556,0.444
4,"KC",0.567,0.433
5,"KC",0.534,0.466
6,"KC",0.602,0.398
7,"KC",0.569,0.431
8,"KC",0.5,0.5
9,"KC",0.605,0.395
10,"KC",0.598,0.402
11,"KC",0.583,0.417
12,"KC",0.483,0.517
13,"KC",0.527,0.473
14,"KC",0.575,0.425
15,"KC",0.552,0.448
16,"KC",0.564,0.436
17,"KC",0.648,0.352
18,"KC",0.517,0.483
1,"LA",0.365,0.635
2,"LA",0.461,0.539
3,"LA",0.422,0.578
4,"LA",0.468,0.532
5,"LA",0.418,0.582
6,"LA",0.538,0.462
7,"LA",0.445,0.555
8,"LA",0.431,0.569
9,"LA",0.443,0.557
10,"LA",0.485,0.515
11,"LA",0.454,0.546
12,"LA",0.385,0.615
13,"LA",0.45,0.55
14,"LA",0.48,0.52
15,"LA",0.452,0.548
16,"LA",0.479,0.521
17,"LA",0.444,0.556
18,"LA",0.448,0.552
1,"LAC",0.469,0.531
2,"LAC",0.49,0.51
3,"LAC",0.4,0.6
4,"LAC",0.449,0.551
5,"LAC",0.447,0.553
6,"LAC",0.42,0.58
7,"LAC",0.409,0.591
8,"LAC",0.425,0.575
9,"LAC",0.473,0.527
10,"LAC",0.433,0.567
11,"LAC",0.419,0.581
12,"LAC",0.457,0.543
13,"LAC",0.401,0.599
14,"LAC",0.492,0.508
15,"LAC",0.431,0.569
16,"LAC",0.458,0.542
17,"LAC",0.452,0.548
18,"LAC",0.45,0.55
1,"LV",0.522,0.478
2,"LV",0.417,0.583
3,"LV",0.496,0.504
4,"LV",0.451,0.549
5,"LV",0.417,0.583
6,"LV",0.447,0.553
7,"LV",0.48,0.52
8,"LV",0.433,0.567
9,"LV",0.419,0.581
10,"LV",0.456,0.544
11,"LV",0.49,0.51
12,"LV",0.447,0.553
13,"LV",0.395,0.605
14,"LV",0.398,0.602
15,"LV",0.419,0.581
16,"LV",0.429,0.571
17,"LV",0.449,0.551
18,"LV",0.477,0.523
1,"MIA",0.533,0.467
2,"MIA",0.505,0.495
3,"MIA",0.574,0.426
4,"MIA",0.561,0.439
5,"MIA",0.596,0.404
6,"MIA",0.483,0.517
7,"MIA",0.553,0.447
8,"MIA",0.604,0.396
9,"MIA",0.579,0.421
10,"MIA",0.517,0.483
11,"MIA",0.579,0.421
12,"MIA",0.515,0.485
13,"MIA",0.532,0.468
14,"MIA",0.598,0.402
15,"MIA",0.538,0.462
16,"MIA",0.583,0.417
17,"MIA",0.538,0.462
18,"MIA",0.487,0.513
1,"MIN",0.416,0.584
2,"MIN",0.406,0.594
3,"MIN",0.431,0.569
4,"MIN",0.437,0.563
5,"MIN",0.444,0.556
6,"MIN",0.44,0.56
7,"MIN",0.526,0.474
8,"MIN",0.395,0.605
9,"MIN",0.433,0.567
10,"MIN",0.464,0.536
11,"MIN",0.515,0.485
12,"MIN",0.454,0.546
13,"MIN",0.5,0.5
14,"MIN",0.384,0.616
15,"MIN",0.508,0.492
16,"MIN",0.422,0.578
17,"MIN",0.439,0.561
18,"MIN",0.406,0.594
1,"NE",0.555,0.445
2,"NE",0.621,0.379
3,"NE",0.647,0.353
4,"NE",0.507,0.493
5,"NE",0.569,0.431
6,"NE",0.606,0.394
7,"NE",0.542,0.458
8,"NE",0.541,0.459
9,"NE",0.538,0.462
10,"NE",0.574,0.426
11,"NE",0.606,0.394
12,"NE",0.578,0.422
13,"NE",0.563,0.437
14,"NE",0.538,0.462
15,"NE",0.57,0.43
16,"NE",0.528,0.472
17,"NE",0.539,0.461
18,"NE",0.594,0.406
1,"NO",0.568,0.432
2,"NO",0.56,0.44
3,"NO",0.54,0.46
4,"NO",0.587,0.413
5,"NO",0.603,0.397
6,"NO",0.515,0.485
7,"NO",0.552,0.448
8,"NO",0.552,0.448
9,"NO",0.527,0.473
10,"NO",0.51,0.49
11,"NO",0.55,0.45
12,"NO",0.576,0.424
13,"NO",0.609,0.391
14,"NO",0.474,0.526
15,"NO",0.522,0.478
16,"NO",0.538,0.462
17,"NO",0.483,0.517
18,"NO",0.52,0.48
1,"NYG",0.419,0.581
2,"NYG",0.421,0.579
3,"NYG",0.362,0.638
4,"NYG",0.459,0.541
5,"NYG",0.425,0.575
6,"NYG",0.511,0.489
7,"NYG",0.482,0.518
8,"NYG",0.392,0.608
9,"NYG",0.454,0.546
10,"NYG",0.426,0.574
11,"NYG",0.486,0.514
12,"NYG",0.452,0.548
13,"NYG",0.428,0.572
14,"NYG",0.468,0.532
15,"NYG",0.456,0.544
16,"NYG",0.443,0.557
17,"NYG",0.531,0.469
18,"NYG",0.429,0.571
1,"NYJ",0.531,0.469
2,"NYJ",0.488,0.512
3,"NYJ",0.548,0.452
4,"NYJ",0.586,0.414
5,"NYJ",0.467,0.533
6,"NYJ",0.54,0.46
7,"NYJ",0.503,0.497
8,"NYJ",0.608,0.392
9,"NYJ",0.604,0.396
10,"NYJ",0.563,0.437
11,"NYJ",0.607,0.393
12,"NYJ",0.515,0.485
13,"NYJ",0.588,0.412
14,"NYJ",0.527,0.473
15,"NYJ",0.563,0.437
16,"NYJ",0.538,0.462
17,"NYJ",0.539,0.461
18,"NYJ",0.572,0.428
1,"PHI",0.448,0.552
2,"PHI",0.49,0.51
3,"PHI",0.507,0.493
4,"PHI",0.484,0.516
5,"PHI",0.504,0.496
6,"PHI",0.487,0.513
7,"PHI",0.565,0.435
8,"PHI",0.529,0.471
9,"PHI",0.619,0.381
10,"PHI",0.468,0.532
11,"PHI",0.533,0.467
12,"PHI",0.584,0.416
13,"PHI",0.512,0.488
14,"PHI",0.457,0.543
15,"PHI",0.46,0.54
16,"PHI",0.499,0.501
17,"PHI",0.552,0.448
18,"PHI",0.53,0.47
1,"PIT",0.364,0.636
2,"PIT",0.422,0.578
3,"PIT",0.45,0.55
4,"PIT",0.392,0.608
5,"PIT",0.478,0.522
6,"PIT",0.352,0.648
7,"PIT",0.456,0.544
8,"PIT",0.434,0.566
9,"PIT",0.43,0.57
10,"PIT",0.439,0.561
11,"PIT",0.463,0.537
12,"PIT",0.466,0.534
13,"PIT",0.441,0.559
14,"PIT",0.373,0.627
15,"PIT",0.392,0.608
16,"PIT",0.391,0.609
17,"PIT",0.48,0.52
18,"PIT",0.44,0.56
1,"SEA",0.511,0.489
2,"SEA",0.438,0.562
3,"SEA",0.479,0.521
4,"SEA",0.522,0.478
5,"SEA",0.493,0.507
6,"SEA",0.495,0.505
7,"SEA",0.497,0.503
8,"SEA",0.548,0.452
9,"SEA",0.475,0.525
10,"SEA",0.527,0.473
11,"SEA",0.536,0.464
12,"SEA",0.452,0.548
13,"SEA",0.505,0.495
14,"SEA",0.5,0.5
15,"SEA",0.541,0.459
16,"SEA",0.537,0.463
17,"SEA",0.5,0.5
18,"SEA",0.505,0.495
1,"SF",0.421,0.579
2,"SF",0.442,0.558
3,"SF",0.409,0.591
4,"SF",0.411,0.589
5,"SF",0.401,0.599
6,"SF",0.483,0.517
7,"SF",0.495,0.505
8,"SF",0.433,0.567
9,"SF",0.405,0.595
10,"SF",0.446,0.554
11,"SF",0.54,0.46
12,"SF",0.532,0.468
13,"SF",0.381,0.619
14,"SF",0.436,0.564
15,"SF",0.511,0.489
16,"SF",0.448,0.552
17,"SF",0.514,0.486
18,"SF",0.437,0.563
1,"TB",0.474,0.526
2,"TB",0.459,0.541
3,"TB",0.579,0.421
4,"TB",0.487,0.513
5,"TB",0.402,0.598
6,"TB",0.426,0.574
7,"TB",0.465,0.535
8,"TB",0.374,0.626
9,"TB",0.378,0.622
10,"TB",0.405,0.595
11,"TB",0.436,0.564
12,"TB",0.5,0.5
13,"TB",0.439,0.561
14,"TB",0.456,0.544
15,"TB",0.447,0.553
16,"TB",0.422,0.578
17,"TB",0.504,0.496
18,"TB",0.406,0.594
1,"TEN",0.441,0.559
2,"TEN",0.436,0.564
3,"TEN",0.471,0.529
4,"TEN",0.514,0.486
5,"TEN",0.471,0.529
6,"TEN",0.505,0.495
7,"TEN",0.481,0.519
8,"TEN",0.425,0.575
9,"TEN",0.453,0.547
10,"TEN",0.505,0.495
11,"TEN",0.388,0.612
12,"TEN",0.463,0.537
13,"TEN",0.444,0.556
14,"TEN",0.485,0.515
15,"TEN",0.48,0.52
16,"TEN",0.462,0.538
17,"TEN",0.51,0.49
18,"TEN",0.389,0.611
1,"WAS",0.486,0.514
2,"WAS",0.387,0.613
3,"WAS",0.474,0.526
4,"WAS",0.454,0.546
5,"WAS",0.489,0.511
6,"WAS",0.453,0.547
7,"WAS",0.387,0.613
8,"WAS",0.37,0.63
9,"WAS",0.472,0.528
10,"WAS",0.447,0.553
11,"WAS",0.427,0.573
12,"WAS",0.438,0.562
13,"WAS",0.423,0.577
14,"WAS",0.444,0.556
15,"WAS",0.413,0.587
16,"WAS",0.371,0.629
17,"WAS",0.441,0.559
18,"WAS",0.492,0.508
